active_employee,active_self_employed,active_unemployed,Inactive
0.058022,0.126762,0.038099,0.271001
0.101425,0.08597,0.042743,0.28894
0.115955,0.107202,0.037612,0.27524
0.103012,0.087952,0.038855,0.29262
0.1108,0.086619,0.035099,0.246774
0.114904,0.082735,0.038465,0.275947
0.112839,0.095479,0.042645,0.270662
0.116449,0.091884,0.039412,0.26547
0.113126,0.099315,0.040696,0.259357
0.101977,0.106813,0.038401,0.291139
0.111179,0.09207,0.036481,0.295579
0.113465,0.095157,0.037254,0.277914
0.113229,0.093766,0.044095,0.26518
0.105238,0.083364,0.048244,0.257504
0.116611,0.081496,0.054141,0.232844
0.117512,0.120907,0.041507,0.285949
0.106993,0.092965,0.046168,0.268844
0.11133,0.088257,0.042111,0.254837
0.110921,0.097901,0.042191,0.242903
0.120333,0.090079,0.039274,0.264642
0.114282,0.080966,0.047779,0.218621
0.114603,0.067714,0.044395,0.252775
0.096117,0.113274,0.029794,0.302278
0.093684,0.109765,0.037171,0.288045
0.092922,0.110887,0.026947,0.319963
0.099088,0.095357,0.034308,0.307939
0.09827,0.115567,0.031226,0.280576
0.112765,0.111421,0.037726,0.25323
0.091342,0.132255,0.019875,0.333439
0.084054,0.115034,0.030139,0.29635
0.101789,0.118544,0.027085,0.304359
0.108974,0.115722,0.031601,0.289361
0.103885,0.119621,0.032134,0.280401
0.089535,0.126216,0.037384,0.286535
0.108048,0.122543,0.026679,0.275145
0.111244,0.121123,0.030373,0.267541
0.10542,0.129303,0.028641,0.28874
0.100307,0.138532,0.026228,0.270229
0.088403,0.111597,0.027133,0.292123
0.120004,0.134701,0.033728,0.280503
0.094999,0.123205,0.039799,0.291573
0.082684,0.116761,0.021265,0.276714
0.118784,0.113811,0.042043,0.260285
0.103858,0.121247,0.041904,0.272805
0.097603,0.136644,0.037032,0.232812
0.107166,0.114348,0.040752,0.292931
0.101624,0.12934,0.030244,0.285812
0.109771,0.093818,0.048618,0.271199
0.09472,0.108981,0.044132,0.28782
0.087108,0.148346,0.043773,0.300404
0.092442,0.119768,0.036063,0.252235
0.109174,0.143381,0.03709,0.280603
0.119563,0.136875,0.048951,0.267952
0.07929,0.144782,0.022232,0.299639
0.114189,0.129539,0.035567,0.263322
0.106678,0.127701,0.024836,0.288257
0.111732,0.135386,0.039653,0.267504
0.143982,0.098382,0.022324,0.265034
0.088369,0.140168,0.030576,0.291487
0.109546,0.112277,0.048016,0.289822
0.102848,0.133175,0.042062,0.307621
0.10024,0.114774,0.040905,0.280192
0.113357,0.086072,0.051346,0.242094
0.114128,0.074353,0.045609,0.284578
0.100528,0.08273,0.038334,0.249267
0.100171,0.068126,0.040607,0.255749
0.101512,0.076966,0.029261,0.27777
0.106165,0.087793,0.025401,0.305795
0.111328,0.070265,0.034415,0.275974
0.106444,0.067456,0.040149,0.242284
0.111515,0.080186,0.026387,0.286807
0.107727,0.066779,0.03903,0.277834
0.098911,0.079003,0.022411,0.334043
0.10527,0.077509,0.030709,0.293576
0.101475,0.072986,0.023698,0.285516
0.100684,0.08244,0.02691,0.292246
0.104699,0.08652,0.027516,0.284395
0.105212,0.076201,0.023354,0.31022
0.111159,0.091133,0.023024,0.255943
0.106753,0.076049,0.030792,0.257698
0.102267,0.09597,0.023026,0.285123
0.108808,0.090464,0.022616,0.273276
0.110089,0.090301,0.018116,0.2932
0.095273,0.089547,0.023148,0.310307
0.103083,0.081925,0.018191,0.28964
0.10216,0.080813,0.023126,0.307878
0.090881,0.080299,0.029567,0.322025
0.095819,0.077914,0.026562,0.333792
0.104663,0.075796,0.033901,0.317691
0.100101,0.156845,0.035865,0.284223
0.100038,0.131503,0.039499,0.281943
0.100172,0.15542,0.037087,0.295833
0.094851,0.13743,0.026988,0.313245
0.103492,0.151096,0.034602,0.300514
0.095391,0.129704,0.036029,0.338328
0.106568,0.149655,0.033675,0.262497
0.099507,0.121139,0.044346,0.312703
0.107175,0.108685,0.045788,0.320721
0.100624,0.103987,0.038425,0.321926
0.114185,0.098647,0.04802,0.312682
0.102984,0.127898,0.037037,0.320144
0.110829,0.103413,0.037078,0.292259
0.114062,0.128936,0.053506,0.310894
0.108531,0.12124,0.040505,0.282984
0.111708,0.099174,0.03843,0.284435
0.095535,0.121957,0.045382,0.296758
0.114498,0.080025,0.0366,0.293779
0.113617,0.086723,0.04434,0.263489
0.110177,0.067913,0.060021,0.35379
0.108243,0.129269,0.046279,0.264991
0.088283,0.108933,0.043968,0.287123
0.112905,0.101673,0.049491,0.296127
0.115753,0.079943,0.054107,0.311999
0.108778,0.085127,0.038002,0.280981
0.115964,0.068618,0.052617,0.300546
0.100455,0.117751,0.047566,0.236279
0.114134,0.078922,0.038562,0.284395
0.08634,0.140761,0.044148,0.27345
0.118509,0.108492,0.050748,0.28644
0.077487,0.135678,0.035176,0.247236
0.08382,0.137553,0.038539,0.247233
0.110921,0.077852,0.063575,0.279439
0.104039,0.087003,0.037287,0.279974
0.092543,0.098704,0.025671,0.277243
0.098481,0.104533,0.033341,0.235168
0.090606,0.107964,0.041392,0.187029
0.086231,0.093553,0.035896,0.238153
0.081388,0.102595,0.018138,0.306576
0.09022,0.106477,0.033279,0.24734
0.109468,0.08638,0.04162,0.273013
0.088169,0.097578,0.029273,0.346228
0.079386,0.104856,0.024161,0.281838
0.075629,0.103623,0.025171,0.311456
0.087103,0.099157,0.026442,0.232923
0.101785,0.074727,0.035463,0.283938
0.106624,0.100539,0.038307,0.226248
0.088249,0.102995,0.024274,0.26985
0.083772,0.102156,0.028421,0.230349
0.104183,0.077089,0.030722,0.279674
0.09403,0.099495,0.026394,0.239303
0.095628,0.094284,0.018686,0.322545
0.087745,0.097264,0.021416,0.316924
0.104606,0.081945,0.029887,0.278295
0.101504,0.093867,0.029018,0.273261
0.081002,0.084979,0.016439,0.314464
0.102336,0.086891,0.030387,0.269463
0.106997,0.093669,0.021967,0.278292
0.091815,0.086421,0.025563,0.297022
0.096017,0.075332,0.02362,0.352201
0.100716,0.092011,0.019444,0.329483
0.095722,0.086401,0.022825,0.315129
0.098588,0.081643,0.02991,0.323877
0.101995,0.112672,0.0229,0.335909
0.104439,0.096917,0.026017,0.310481
0.095736,0.076888,0.021377,0.297092
0.10125,0.084398,0.026541,0.343912
0.100143,0.09224,0.018785,0.319212
0.113094,0.103612,0.021894,0.265374
0.081214,0.140349,0.038993,0.330019
0.051681,0.175465,0.022923,0.279244
0.078233,0.145711,0.034827,0.257618
0.057135,0.146739,0.023551,0.280797
0.071266,0.130149,0.0302,0.238944
0.076028,0.141369,0.034497,0.269886
0.092909,0.086609,0.048705,0.336634
0.053488,0.128451,0.030546,0.243564
0.08857,0.111331,0.042801,0.289584
0.073316,0.110634,0.040181,0.240863
0.055621,0.145224,0.024852,0.229586
0.090588,0.096478,0.046766,0.313111
0.088192,0.095607,0.043029,0.269857
0.078274,0.124543,0.036006,0.288572
0.089871,0.120716,0.051155,0.289414
0.059319,0.114056,0.032693,0.215108
0.066451,0.104664,0.03456,0.30163
0.070487,0.132148,0.03307,0.309354
0.094031,0.083932,0.058236,0.36838
0.099989,0.095147,0.049994,0.328454
0.078308,0.119633,0.050973,0.323042
0.100787,0.065726,0.057038,0.39078
0.102703,0.063824,0.057971,0.393813
0.068727,0.085581,0.048876,0.490637
0.098213,0.103169,0.048806,0.340742
0.081684,0.107514,0.048809,0.400369
0.098784,0.112353,0.038211,0.231003
0.096497,0.117848,0.037832,0.289075
0.10503,0.115647,0.039687,0.304853
0.106902,0.118976,0.041764,0.274842
0.117899,0.098324,0.052874,0.256047
0.115046,0.102092,0.044331,0.252555
0.106543,0.096596,0.040561,0.248342
0.110792,0.09457,0.050506,0.247584
0.114894,0.098432,0.043001,0.295857
0.109536,0.094605,0.04128,0.281932
0.11797,0.090316,0.045987,0.292802
0.113792,0.085875,0.050749,0.248567
0.109538,0.086732,0.052354,0.267835
0.118752,0.081929,0.043911,0.270275
0.131994,0.080455,0.035206,0.269948
0.102685,0.095342,0.035796,0.2352
0.10324,0.09514,0.027079,0.305005
0.126281,0.071542,0.047871,0.26704
0.108064,0.077903,0.053211,0.25082
0.09875,0.093459,0.032062,0.287111
0.098588,0.111609,0.038387,0.245709
0.079994,0.091861,0.033924,0.284657
0.115594,0.094371,0.040936,0.219864
0.111511,0.070294,0.041367,0.308153
0.107485,0.098702,0.022939,0.352078
0.110784,0.07846,0.045124,0.265218
0.090212,0.096562,0.032706,0.234815
0.116192,0.055692,0.048306,0.281276
0.103714,0.098497,0.033785,0.220718
0.121051,0.069324,0.037062,0.289028
0.094538,0.094407,0.024554,0.334296
0.113679,0.078411,0.028505,0.284883
0.093412,0.095047,0.018984,0.325497
0.112466,0.068667,0.034654,0.31606
0.08942,0.090468,0.029045,0.30359
0.094223,0.117432,0.02283,0.316095
0.109015,0.091921,0.023706,0.326399
0.092552,0.095695,0.024827,0.261471
0.092583,0.089303,0.029944,0.272246
0.095632,0.102452,0.022058,0.290814
0.096375,0.085204,0.023656,0.239733
0.100171,0.087535,0.024878,0.318678
